alg,family,role,layer,n_seeds,inert,late_censored,R,R_lo,R_hi,R_mid,drift,drift_lo,drift_hi,A_early,A_mid,A_late,A0_early,A0_late,B_early,B_mid,B_late,A0_mid
ActorCriticMLP,eff_rank,actor,pre1,30,False,False,1.3928332,0.4878883,6.383783,1.8218548,-7.2768226,-31.670752,-3.6952355,3.5875513553619385,4.247223377227783,3.621530771255493,2.6572952270507812,2.325838804244995,50.40554428100586,45.17130661010742,43.63623046875,2.55243182182312
ActorCriticMLP,eff_rank,critic,pre1,30,False,False,1.2390054,0.37794998,5.086715,1.7410665,-6.378074,-24.535591,-3.370175,3.989041805267334,4.604195594787598,3.947636365890503,2.9296457767486572,2.6350388526916504,53.886356353759766,48.96906661987305,47.12944412231445,2.759716272354126
ActorCriticMLP,eff_rank,actor,rtu,30,False,False,0.55275476,0.24719563,1.1498936,0.912685,-8.04648,-16.566204,-5.192661,3.154232978820801,2.71691632270813,2.127624034881592,1.9963594675064087,1.4876039028167725,40.63858413696289,33.8046989440918,31.32177734375,1.6601427793502808
ActorCriticMLP,eff_rank,critic,rtu,30,False,False,0.34628236,0.1843857,0.5382532,0.39247233,-1.7761971,-2.4031599,-1.3556647,7.824951648712158,4.514737129211426,4.100268840789795,3.1048781871795654,2.4657909870147705,53.99515151977539,48.51597595214844,45.61137008666992,2.662238597869873
ActorCriticMLP,eff_rank,actor,pre2,30,False,False,0.24458882,0.06552764,0.43090752,0.60327107,-6.5871596,-9.871047,-4.75839,1.7458809614181519,1.19538414478302,0.8563836216926575,0.9344940185546875,0.6579275131225586,22.564863204956055,18.630205154418945,17.220129013061523,0.7058979272842407
ActorCriticMLP,eff_rank,critic,pre2,30,False,False,0.19566554,0.13488616,0.26552883,0.2335737,0.10834143,-0.4173561,0.5940176,6.423196792602539,2.7249958515167236,2.5172245502471924,2.545354127883911,1.7584640979766846,26.499927520751953,27.069501876831055,26.920061111450195,1.8192334175109863
ActorCriticMLP,sat_rate,actor,pre1,30,True,False,nan,nan,nan,nan,nan,nan,nan,0.0007530968869104981,0.004064611159265041,0.004581925924867392,0.0010627814335748553,0.003522663377225399,0.00010909346747212112,0.0011331643909215927,0.0014569256454706192,0.004075168631970882
ActorCriticMLP,sat_rate,critic,pre1,30,True,False,63.916714,-113.893295,69.44331,19.333344,318.5835,-541.89136,341.64246,0.0031637107022106647,0.008382600732147694,0.011173281818628311,0.003121481044217944,0.008474098518490791,0.0018440316198393703,0.009265906177461147,0.01529772114008665,0.007566159591078758
ActorCriticMLP,sat_rate,actor,pre2,30,False,False,0.37950823,-2.445352,4.5694838,0.1258197,0.14959016,-0.9337702,2.0932202,0.017254363745450974,0.011067708022892475,0.01051168330013752,0.008667651563882828,0.0072529553435742855,0.0018792229238897562,0.004705095663666725,0.0031637107022106647,0.009987330064177513
ActorCriticMLP,sat_rate,critic,pre2,30,False,False,0.112219565,0.058490984,0.19026023,0.08602457,-0.51540637,-0.93726504,-0.059659712,0.17925463616847992,0.041684266179800034,0.041487183421850204,0.055792514234781265,0.027632320299744606,0.3839069902896881,0.27615076303482056,0.3202737867832184,0.031063485890626907
ActorCriticMLP,sat_persist,actor,pre1,30,True,True,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ActorCriticMLP,sat_persist,critic,pre1,30,False,False,8.891891,0.96204937,15.46487,6.7297287,80.7027,19.363007,115.859474,0.00024282094091176987,0.0016469594556838274,0.0022381755989044905,0.00011261261533945799,0.001080377260223031,0.00024282094091176987,0.005433558486402035,0.010750985704362392,0.0007706926553510129
ActorCriticMLP,sat_persist,actor,pre2,30,True,True,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
